Bank Number	VREF	PinName/Function (2)	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F896	DQS for X8	DQS for X16	HMC Pin Assignment for DDR3/DDR2 (3)	HMC Pin Assignment for LPDDR2	HPS Pin Mux Select 3	HPS Pin Mux Select 2	HPS Pin Mux Select 1	HPS Pin Mux Select 0			
5A	VREFB5AN0	IO			DIFFIO_RX_R13n	DIFFOUT_R13n	W24	DQSn2R										
5A	VREFB5AN0	IO			DIFFIO_TX_R14n	DIFFOUT_R14n	AF30	DQ2R										
5A	VREFB5AN0	IO			DIFFIO_RX_R15p	DIFFOUT_R15p	AD26	DQ2R										
5A	VREFB5AN0	IO			DIFFIO_TX_R16p	DIFFOUT_R16p	AH30	DQ2R										
5A	VREFB5AN0	IO			DIFFIO_RX_R15n	DIFFOUT_R15n	AC27	DQ2R										
5A	VREFB5AN0	IO			DIFFIO_TX_R16n	DIFFOUT_R16n	AG30											
5B	VREFB5BN0	IO			DIFFIO_RX_R17p	DIFFOUT_R17p	W25											
5B	VREFB5BN0	IO			DIFFIO_TX_R18p	DIFFOUT_R18p	AC28	DQ3R										
5B	VREFB5BN0	IO			DIFFIO_RX_R17n	DIFFOUT_R17n	V25											
5B	VREFB5BN0	IO			DIFFIO_TX_R18n	DIFFOUT_R18n	AC29	DQ3R										
5B	VREFB5BN0	IO			DIFFIO_RX_R19p	DIFFOUT_R19p	AB30	DQ3R										
5B	VREFB5BN0	IO			DIFFIO_TX_R20p	DIFFOUT_R20p	AB28	DQ3R										
5B	VREFB5BN0	IO			DIFFIO_RX_R19n	DIFFOUT_R19n	AA30	DQ3R										
5B	VREFB5BN0	IO			DIFFIO_TX_R20n	DIFFOUT_R20n	AA28	DQ3R										
5B	VREFB5BN0	IO	CLK5p		DIFFIO_RX_R21p	DIFFOUT_R21p	AA26	DQS3R										
5B	VREFB5BN0	IO	"FPLL_BR_CLKOUT0,FPLL_BR_CLKOUTp,FPLL_BR_FB"		DIFFIO_TX_R22p	DIFFOUT_R22p	AE29											
5B	VREFB5BN0	IO	CLK5n		DIFFIO_RX_R21n	DIFFOUT_R21n	AB27	DQSn3R										
5B	VREFB5BN0	IO	"FPLL_BR_CLKOUT1,FPLL_BR_CLKOUTn"		DIFFIO_TX_R22n	DIFFOUT_R22n	AD29	DQ3R										
5B	VREFB5BN0	IO	"CLK4p,FPLL_BR_FBp"		DIFFIO_RX_R23p	DIFFOUT_R23p	Y26	DQ3R										
5B	VREFB5BN0	IO			DIFFIO_TX_R24p	DIFFOUT_R24p	AD30	DQ3R										
5B	VREFB5BN0	IO	"CLK4n,FPLL_BR_FBn"		DIFFIO_RX_R23n	DIFFOUT_R23n	Y27	DQ3R										
5B	VREFB5BN0	IO	RZQ_2		DIFFIO_TX_R24n	DIFFOUT_R24n	AC30											
6B	VREFB6BN0_HPS	HPS_DDR					W27			HPS_DM_4	HPS_DM_4							
6B	VREFB6BN0_HPS	HPS_DDR					Y29			HPS_DQ_39	HPS_DQ_39							
6B	VREFB6BN0_HPS	HPS_DDR					U25			HPS_DQ_37	HPS_DQ_37							
6B	VREFB6BN0_HPS	HPS_DDR					V27			HPS_DQ_38	HPS_DQ_38							
6B	VREFB6BN0_HPS	HPS_DDR					T25			HPS_DQ_36	HPS_DQ_36							
6B	VREFB6BN0_HPS	HPS_DDR					T24			HPS_DQS_4	HPS_DQS_4							
6B	VREFB6BN0_HPS	HPS_GPI13					Y28											
6B	VREFB6BN0_HPS	HPS_DDR					T23			HPS_DQS#_4	HPS_DQS#_4							
6B	VREFB6BN0_HPS	HPS_DDR					V28			HPS_DQ_35	HPS_DQ_35							
6B	VREFB6BN0_HPS	HPS_DDR					R24			HPS_DQ_33	HPS_DQ_33							
6B	VREFB6BN0_HPS	HPS_DDR					U27			HPS_DQ_34	HPS_DQ_34							
6B	VREFB6BN0_HPS	HPS_DDR					W26			HPS_DQ_32	HPS_DQ_32							
6B	VREFB6BN0_HPS	HPS_GPI12					V29											
6B	VREFB6BN0_HPS	HPS_GPI11					U20											
6B	VREFB6BN0_HPS	HPS_DDR					W30			HPS_DM_3	HPS_DM_3							
6B	VREFB6BN0_HPS	HPS_GPI10					T21											
6B	VREFB6BN0_HPS	HPS_DDR					W29			HPS_DQ_31	HPS_DQ_31							
6B	VREFB6BN0_HPS	HPS_DDR					R26			HPS_DQ_29	HPS_DQ_29							
6B	VREFB6BN0_HPS	HPS_DDR					V30			HPS_DQ_30	HPS_DQ_30							
6B	VREFB6BN0_HPS	HPS_DDR					R27			HPS_DQ_28	HPS_DQ_28							
6B	VREFB6BN0_HPS	VREFB6BN0_HPS					U30											
6B	VREFB6BN0_HPS	HPS_DDR					R22			HPS_DQS_3	HPS_DQS_3							
6B	VREFB6BN0_HPS	HPS_GPI9					U28											
6B	VREFB6BN0_HPS	HPS_DDR					R21			HPS_DQS#_3	HPS_DQS#_3							
6B	VREFB6BN0_HPS	HPS_DDR					T28			HPS_DQ_27	HPS_DQ_27							
6B	VREFB6BN0_HPS	HPS_DDR					P25			HPS_DQ_25	HPS_DQ_25							
6B	VREFB6BN0_HPS	HPS_DDR					T29			HPS_DQ_26	HPS_DQ_26							
6B	VREFB6BN0_HPS	HPS_DDR					P24			HPS_DQ_24	HPS_DQ_24							
6B	VREFB6BN0_HPS	HPS_GPI8					T30											
6B	VREFB6BN0_HPS	HPS_GPI7					V20											
6B	VREFB6BN0_HPS	HPS_DDR					R28			HPS_DM_2	HPS_DM_2							
6B	VREFB6BN0_HPS	HPS_GPI6					P22											
6B	VREFB6BN0_HPS	HPS_DDR					R29			HPS_DQ_23	HPS_DQ_23							
6B	VREFB6BN0_HPS	HPS_DDR					P27			HPS_DQ_21	HPS_DQ_21							
6B	VREFB6BN0_HPS	HPS_DDR					N27			HPS_DQ_22	HPS_DQ_22							
6B	VREFB6BN0_HPS	HPS_DDR					P26			HPS_DQ_20	HPS_DQ_20							
6B	VREFB6BN0_HPS	HPS_GPI5					P29											
6B	VREFB6BN0_HPS	HPS_DDR					R19			HPS_DQS_2	HPS_DQS_2							
6B	VREFB6BN0_HPS	HPS_DDR					P30			HPS_RESET#	HPS_RESET#							
6B	VREFB6BN0_HPS	HPS_DDR					R18			HPS_DQS#_2	HPS_DQS#_2							
6B	VREFB6BN0_HPS	HPS_DDR					N28			HPS_DQ_19	HPS_DQ_19							
6B	VREFB6BN0_HPS	HPS_DDR					T26			HPS_DQ_17	HPS_DQ_17							
6B	VREFB6BN0_HPS	HPS_DDR					N29			HPS_DQ_18	HPS_DQ_18							
6B	VREFB6BN0_HPS	HPS_DDR					U26			HPS_DQ_16	HPS_DQ_16							
6B	VREFB6BN0_HPS	HPS_GPI4					N30											
6A	VREFB6AN0_HPS	HPS_GPI3					M22											
6A	VREFB6AN0_HPS	HPS_DDR					M28			HPS_DM_1	HPS_DM_1							
6A	VREFB6AN0_HPS	HPS_GPI2					N23											
6A	VREFB6AN0_HPS	HPS_DDR					M30			HPS_DQ_15	HPS_DQ_15							
6A	VREFB6AN0_HPS	HPS_DDR					M27			HPS_DQ_13	HPS_DQ_13							
6A	VREFB6AN0_HPS	HPS_DDR					L28			HPS_DQ_14	HPS_DQ_14							
6A	VREFB6AN0_HPS	HPS_DDR					M26			HPS_DQ_12	HPS_DQ_12							
6A	VREFB6AN0_HPS	HPS_DDR					L29			HPS_CKE_0	HPS_CKE_0							
6A	VREFB6AN0_HPS	HPS_DDR					N25			HPS_DQS_1	HPS_DQS_1							
6A	VREFB6AN0_HPS	HPS_DDR					L30			HPS_CKE_1	HPS_CKE_1							
6A	VREFB6AN0_HPS	HPS_DDR					N24			HPS_DQS#_1	HPS_DQS#_1							
6A	VREFB6AN0_HPS	HPS_DDR					K27			HPS_DQ_11	HPS_DQ_11							
6A	VREFB6AN0_HPS	HPS_DDR					L26			HPS_DQ_9	HPS_DQ_9							
6A	VREFB6AN0_HPS	HPS_DDR					K29			HPS_DQ_10	HPS_DQ_10							
6A	VREFB6AN0_HPS	HPS_DDR					K26			HPS_DQ_8	HPS_DQ_8							
6A	VREFB6AN0_HPS	HPS_GPI1					J26											
6A	VREFB6AN0_HPS	HPS_GPI0					M25											
6A	VREFB6AN0_HPS	HPS_DDR					K28			HPS_DM_0	HPS_DM_0							
6A	VREFB6AN0_HPS	HPS_DDR					J29			HPS_DQ_7	HPS_DQ_7							
6A	VREFB6AN0_HPS	HPS_DDR					L24			HPS_DQ_5	HPS_DQ_5							
6A	VREFB6AN0_HPS	HPS_DDR					J30			HPS_DQ_6	HPS_DQ_6							
6A	VREFB6AN0_HPS	HPS_DDR					L25			HPS_DQ_4	HPS_DQ_4							
6A	VREFB6AN0_HPS	HPS_DDR					H29			HPS_ODT_1	HPS_ODT_1							
6A	VREFB6AN0_HPS	HPS_DDR					N18			HPS_DQS_0	HPS_DQS_0							
6A	VREFB6AN0_HPS	HPS_DDR					H28			HPS_ODT_0	HPS_ODT_0							
6A	VREFB6AN0_HPS	HPS_DDR					M19			HPS_DQS#_0	HPS_DQS#_0							
6A	VREFB6AN0_HPS	HPS_DDR					G28			HPS_DQ_3	HPS_DQ_3							
6A	VREFB6AN0_HPS	HPS_DDR					K22			HPS_DQ_1	HPS_DQ_1							
6A	VREFB6AN0_HPS	HPS_DDR					H30			HPS_DQ_2	HPS_DQ_2							
6A	VREFB6AN0_HPS	HPS_DDR					K23			HPS_DQ_0	HPS_DQ_0							
6A	VREFB6AN0_HPS	VREFB6AN0_HPS					G27											
6A	VREFB6AN0_HPS	HPS_DDR					F26			HPS_A_0	HPS_CA_0							
6A	VREFB6AN0_HPS	HPS_DDR					G30			HPS_A_1	HPS_CA_1							
6A	VREFB6AN0_HPS	HPS_DDR					J25			HPS_A_4	HPS_CA_4							
6A	VREFB6AN0_HPS	HPS_DDR					F28			HPS_A_2	HPS_CA_2							
6A	VREFB6AN0_HPS	HPS_DDR					J27			HPS_A_5	HPS_CA_5							
6A	VREFB6AN0_HPS	HPS_DDR					F30			HPS_A_3	HPS_CA_3							
6A	VREFB6AN0_HPS	HPS_DDR					M23			HPS_CK	HPS_CK							
6A	VREFB6AN0_HPS	HPS_DDR					F29			HPS_A_6	HPS_CA_6							
6A	VREFB6AN0_HPS	HPS_DDR					L23			HPS_CK#	HPS_CK#							
6A	VREFB6AN0_HPS	HPS_DDR					E28			HPS_A_7	HPS_CA_7							
6A	VREFB6AN0_HPS	HPS_DDR					J24			HPS_BA_1								
6A	VREFB6AN0_HPS	HPS_DDR					E29			HPS_BA_0								
6A	VREFB6AN0_HPS	HPS_DDR					J23			HPS_BA_2								
6A	VREFB6AN0_HPS	HPS_DDR					E27			HPS_CAS#								
6A	VREFB6AN0_HPS	HPS_DDR					D30			HPS_RAS#								
6A	VREFB6AN0_HPS	HPS_DDR					H27			HPS_A_8	HPS_CA_8							
6A	VREFB6AN0_HPS	HPS_DDR					D29			HPS_A_10								
6A	VREFB6AN0_HPS	HPS_DDR					G26			HPS_A_9	HPS_CA_9							
6A	VREFB6AN0_HPS	HPS_DDR					C30			HPS_A_11								
6A	VREFB6AN0_HPS	HPS_DDR					H24			HPS_CS#_0	HPS_CS#_0							
6A	VREFB6AN0_HPS	HPS_DDR					B30			HPS_A_12								
6A	VREFB6AN0_HPS	HPS_DDR					K21			HPS_CS#_1	HPS_CS#_1							
6A	VREFB6AN0_HPS	HPS_DDR					C29			HPS_A_13								
6A	VREFB6AN0_HPS	HPS_DDR					H25			HPS_A_14								
6A	VREFB6AN0_HPS	HPS_DDR					C28			HPS_WE#								
6A	VREFB6AN0_HPS	HPS_DDR					G25			HPS_A_15								
6A	VREFB6AN0_HPS	HPS_RZQ_0					D27											
		GND					J22											
		GND					D26											
7A		HPS_nRST					C27											
7A		HPS_nPOR					F23											
7A		HPS_TDO					B28											
		VCCRSTCLK_HPS					G23											
7A		HPS_TMS					A29											
7A		HPS_TCK					H22											
7A		HPS_TRST					A28											
7A		HPS_TDI					B27											
		GND					A26											
7A		HPS_PORSEL					F24											
7A		HPS_CLK1					D25											
7A		HPS_CLK2					F25											
7A	VREFB7A7B7C7DN0_HPS	TRACE_CLK					B26					TRACE_CLK			HPS_GPIO48			
7A	VREFB7A7B7C7DN0_HPS	TRACE_D0					B25					TRACE_D0	SPIS0_CLK	UART0_RX	HPS_GPIO49			
7A	VREFB7A7B7C7DN0_HPS	TRACE_D1					C25					TRACE_D1	SPIS0_MOSI	UART0_TX	HPS_GPIO50			
7A	VREFB7A7B7C7DN0_HPS	TRACE_D2					A25					TRACE_D2	SPIS0_MISO	I2C1_SDA	HPS_GPIO51			
7A	VREFB7A7B7C7DN0_HPS	TRACE_D3					H23					TRACE_D3	SPIS0_SS0	I2C1_SCL	HPS_GPIO52			
7A	VREFB7A7B7C7DN0_HPS	TRACE_D4					A24					TRACE_D4	SPIS1_CLK	CAN1_RX	HPS_GPIO53			
7A	VREFB7A7B7C7DN0_HPS	TRACE_D5					G21					TRACE_D5	SPIS1_MOSI	CAN1_TX	HPS_GPIO54			
7A	VREFB7A7B7C7DN0_HPS	TRACE_D6					C24					TRACE_D6	SPIS1_SS0	I2C0_SDA	HPS_GPIO55			
7A	VREFB7A7B7C7DN0_HPS	TRACE_D7					E23					TRACE_D7	SPIS1_MISO	I2C0_SCL	HPS_GPIO56			
7A	VREFB7A7B7C7DN0_HPS	SPIM0_CLK					A23					SPIM0_CLK	I2C1_SDA	UART0_CTS	HPS_GPIO57			
7A	VREFB7A7B7C7DN0_HPS	SPIM0_MOSI					C22					SPIM0_MOSI	I2C1_SCL	UART0_RTS	HPS_GPIO58			
7A	VREFB7A7B7C7DN0_HPS	SPIM0_MISO					B23					SPIM0_MISO	CAN1_RX	UART1_CTS	HPS_GPIO59			
7A	VREFB7A7B7C7DN0_HPS	"SPIM0_SS0,BOOTSEL0"					H20					SPIM0_SS0	CAN1_TX	UART1_RTS	HPS_GPIO60			
7A	VREFB7A7B7C7DN0_HPS	UART0_RX					B22					UART0_RX	CAN0_RX	SPIM0_SS1	HPS_GPIO61			
7A	VREFB7A7B7C7DN0_HPS	"UART0_TX,CLKSEL1"					G22					UART0_TX	CAN0_TX	SPIM1_SS1	HPS_GPIO62			
7A	VREFB7A7B7C7DN0_HPS	I2C0_SDA					C23					I2C0_SDA	UART1_RX	SPIM1_CLK	HPS_GPIO63			
7A	VREFB7A7B7C7DN0_HPS	I2C0_SCL					D22					I2C0_SCL	UART1_TX	SPIM1_MOSI	HPS_GPIO64			
7A	VREFB7A7B7C7DN0_HPS	CAN0_RX					E24					CAN0_RX	UART0_RX	SPIM1_MISO	HPS_GPIO65			
7A	VREFB7A7B7C7DN0_HPS	"CAN0_TX,CLKSEL0"					D24					CAN0_TX	UART0_TX	SPIM1_SS0	HPS_GPIO66			
7B	VREFB7A7B7C7DN0_HPS	NAND_ALE					H19					NAND_ALE	RGMII1_TX_CLK	QSPI_SS3	HPS_GPIO14			
7B	VREFB7A7B7C7DN0_HPS	NAND_CE					F20					NAND_CE	RGMII1_TXD0	USB1_D0	HPS_GPIO15			
7B	VREFB7A7B7C7DN0_HPS	NAND_CLE					J19					NAND_CLE	RGMII1_TXD1	USB1_D1	HPS_GPIO16			
7B	VREFB7A7B7C7DN0_HPS	NAND_RE					F21					NAND_RE	RGMII1_TXD2	USB1_D2	HPS_GPIO17			
7B	VREFB7A7B7C7DN0_HPS	NAND_RB					F19					NAND_RB	RGMII1_TXD3	USB1_D3	HPS_GPIO18			
7B	VREFB7A7B7C7DN0_HPS	NAND_DQ0					A21					NAND_DQ0	RGMII1_RXD0		HPS_GPIO19			
7B	VREFB7A7B7C7DN0_HPS	NAND_DQ1					E21					NAND_DQ1	RGMII1_MDIO	I2C3_SDA	HPS_GPIO20			
7B	VREFB7A7B7C7DN0_HPS	NAND_DQ2					B21					NAND_DQ2	RGMII1_MDC	I2C3_SCL	HPS_GPIO21			
7B	VREFB7A7B7C7DN0_HPS	NAND_DQ3					K17					NAND_DQ3	RGMII1_RX_CTL	USB1_D4	HPS_GPIO22			
7B	VREFB7A7B7C7DN0_HPS	NAND_DQ4					A20					NAND_DQ4	RGMII1_TX_CTL	USB1_D5	HPS_GPIO23			
7B	VREFB7A7B7C7DN0_HPS	NAND_DQ5					G20					NAND_DQ5	RGMII1_RX_CLK	USB1_D6	HPS_GPIO24			
7B	VREFB7A7B7C7DN0_HPS	NAND_DQ6					B20					NAND_DQ6	RGMII1_RXD1	USB1_D7	HPS_GPIO25			
7B	VREFB7A7B7C7DN0_HPS	NAND_DQ7					B18					NAND_DQ7	RGMII1_RXD2		HPS_GPIO26			
7B	VREFB7A7B7C7DN0_HPS	NAND_WP					D21					NAND_WP	RGMII1_RXD3	QSPI_SS2	HPS_GPIO27			
7B	VREFB7A7B7C7DN0_HPS	"NAND_WE,BOOTSEL2"					D20					NAND_WE	QSPI_SS1		HPS_GPIO28			
7B	VREFB7A7B7C7DN0_HPS	QSPI_IO0					C20					QSPI_IO0		USB1_CLK	HPS_GPIO29			
7B	VREFB7A7B7C7DN0_HPS	QSPI_IO1					H18					QSPI_IO1		USB1_STP	HPS_GPIO30			
7B	VREFB7A7B7C7DN0_HPS	QSPI_IO2					A19					QSPI_IO2		USB1_DIR	HPS_GPIO31			
7B	VREFB7A7B7C7DN0_HPS	QSPI_IO3					E19					QSPI_IO3		USB1_NXT	HPS_GPIO32			
7B	VREFB7A7B7C7DN0_HPS	"QSPI_SS0,BOOTSEL1"					A18					QSPI_SS0			HPS_GPIO33			
7B	VREFB7A7B7C7DN0_HPS	QSPI_CLK					D19					QSPI_CLK			HPS_GPIO34			
7B	VREFB7A7B7C7DN0_HPS	QSPI_SS1					C19					QSPI_SS1			HPS_GPIO35			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_CMD					F18					SDMMC_CMD	USB0_D0		HPS_GPIO36			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_PWREN					B17					SDMMC_PWREN	USB0_D1		HPS_GPIO37			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_D0					G18					SDMMC_D0	USB0_D2		HPS_GPIO38			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_D1					C17					SDMMC_D1	USB0_D3		HPS_GPIO39			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_D4					H17					SDMMC_D4	USB0_D4		HPS_GPIO40			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_D5					C18					SDMMC_D5	USB0_D5		HPS_GPIO41			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_D6					G17					SDMMC_D6	USB0_D6		HPS_GPIO42			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_D7					E18					SDMMC_D7	USB0_D7		HPS_GPIO43			
7C	VREFB7A7B7C7DN0_HPS	HPS_GPIO44					E17						USB0_CLK		HPS_GPIO44			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_CCLK_OUT					A16					SDMMC_CCLK_OUT	USB0_STP		HPS_GPIO45			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_D2					D17					SDMMC_D2	USB0_DIR		HPS_GPIO46			
7C	VREFB7A7B7C7DN0_HPS	SDMMC_D3					B16					SDMMC_D3	USB0_NXT		HPS_GPIO47			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_TX_CLK					F16					RGMII0_TX_CLK			HPS_GPIO0			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_TXD0					E16					RGMII0_TXD0	USB1_D0		HPS_GPIO1			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_TXD1					G16					RGMII0_TXD1	USB1_D1		HPS_GPIO2			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_TXD2					D16					RGMII0_TXD2	USB1_D2		HPS_GPIO3			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_TXD3					D14					RGMII0_TXD3	USB1_D3		HPS_GPIO4			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_RXD0					A15					RGMII0_RXD0	USB1_D4		HPS_GPIO5			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_MDIO					C14					RGMII0_MDIO	USB1_D5	I2C2_SDA	HPS_GPIO6			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_MDC 					D15					RGMII0_MDC	USB1_D6	I2C2_SCL	HPS_GPIO7			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_RX_CTL					M17					RGMII0_RX_CTL	USB1_D7		HPS_GPIO8			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_TX_CTL					B15					RGMII0_TX_CTL			HPS_GPIO9			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_RX_CLK					N16					RGMII0_RX_CLK	USB1_CLK		HPS_GPIO10			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_RXD1					C15					RGMII0_RXD1	USB1_STP		HPS_GPIO11			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_RXD2					E14					RGMII0_RXD2	USB1_DIR		HPS_GPIO12			
7D	VREFB7A7B7C7DN0_HPS	RGMII0_RXD3					A14					RGMII0_RXD3	USB1_NXT		HPS_GPIO13			
8A	VREFB8AN0	IO	CLK7p		DIFFIO_RX_T1p	DIFFOUT_T1p	H15											
8A	VREFB8AN0	IO			DIFFIO_TX_T2p	DIFFOUT_T2p	B13	DQ1T										
8A	VREFB8AN0	IO	CLK7n		DIFFIO_RX_T1n	DIFFOUT_T1n	G15											
8A	VREFB8AN0	IO			DIFFIO_TX_T2n	DIFFOUT_T2n	A13	DQ1T										
8A	VREFB8AN0	IO			DIFFIO_RX_T3p	DIFFOUT_T3p	C13	DQ1T										
8A	VREFB8AN0	IO	"FPLL_TL_CLKOUT0,FPLL_TL_CLKOUTp,FPLL_TL_FB"		DIFFIO_TX_T4p	DIFFOUT_T4p	A11	DQ1T										
8A	VREFB8AN0	IO			DIFFIO_RX_T3n	DIFFOUT_T3n	B12	DQ1T										
8A	VREFB8AN0	IO	"FPLL_TL_CLKOUT1,FPLL_TL_CLKOUTn"		DIFFIO_TX_T4n	DIFFOUT_T4n	A10	DQ1T										
8A	VREFB8AN0	IO			DIFFIO_RX_T5p	DIFFOUT_T5p	F15	DQS1T										
8A	VREFB8AN0	IO			DIFFIO_TX_T6p	DIFFOUT_T6p	C12											
8A	VREFB8AN0	IO			DIFFIO_RX_T5n	DIFFOUT_T5n	F14	DQSn1T										
8A	VREFB8AN0	IO			DIFFIO_TX_T6n	DIFFOUT_T6n	B11	DQ1T										
8A	VREFB8AN0	IO			DIFFIO_RX_T7p	DIFFOUT_T7p	D11	DQ1T										
8A	VREFB8AN0	IO			DIFFIO_TX_T8p	DIFFOUT_T8p	A9	DQ1T										
8A	VREFB8AN0	IO			DIFFIO_RX_T7n	DIFFOUT_T7n	D10	DQ1T										
8A	VREFB8AN0	IO			DIFFIO_TX_T8n	DIFFOUT_T8n	A8											
8A	VREFB8AN0	IO	"CLK6p,FPLL_TL_FBp"		DIFFIO_RX_T9p	DIFFOUT_T9p	K14											
8A	VREFB8AN0	IO			DIFFIO_TX_T10p	DIFFOUT_T10p	C7	DQ2T	DQ1T									
8A	VREFB8AN0	IO	"CLK6n,FPLL_TL_FBn"		DIFFIO_RX_T9n	DIFFOUT_T9n	J14											
8A	VREFB8AN0	IO			DIFFIO_TX_T10n	DIFFOUT_T10n	B7	DQ2T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_RX_T11p	DIFFOUT_T11p	E9	DQ2T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_TX_T12p	DIFFOUT_T12p	C8	DQ2T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_RX_T11n	DIFFOUT_T11n	D9	DQ2T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_TX_T12n	DIFFOUT_T12n	B8	DQ2T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_RX_T13p	DIFFOUT_T13p	H14	DQS2T	DQS1T									
8A	VREFB8AN0	IO			DIFFIO_TX_T14p	DIFFOUT_T14p	C10											
8A	VREFB8AN0	IO			DIFFIO_RX_T13n	DIFFOUT_T13n	G13	DQSn2T	DQSn1T									
8A	VREFB8AN0	IO			DIFFIO_TX_T14n	DIFFOUT_T14n	C9	DQ2T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_RX_T15p	DIFFOUT_T15p	F13	DQ2T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_TX_T16p	DIFFOUT_T16p	A6	DQ2T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_RX_T15n	DIFFOUT_T15n	E13	DQ2T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_TX_T16n	DIFFOUT_T16n	A5											
8A	VREFB8AN0	IO			DIFFIO_RX_T17p	DIFFOUT_T17p	H8											
8A	VREFB8AN0	IO			DIFFIO_TX_T18p	DIFFOUT_T18p	A4	DQ3T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_RX_T17n	DIFFOUT_T17n	G8											
8A	VREFB8AN0	IO			DIFFIO_TX_T18n	DIFFOUT_T18n	A3	DQ3T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_RX_T19p	DIFFOUT_T19p	E12	DQ3T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_TX_T20p	DIFFOUT_T20p	D6	DQ3T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_RX_T19n	DIFFOUT_T19n	D12	DQ3T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_TX_T20n	DIFFOUT_T20n	C5	DQ3T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_RX_T21p	DIFFOUT_T21p	H13	DQS3T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_TX_T22p	DIFFOUT_T22p	D5											
8A	VREFB8AN0	IO			DIFFIO_RX_T21n	DIFFOUT_T21n	H12	DQSn3T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_TX_T22n	DIFFOUT_T22n	C4	DQ3T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_RX_T23p	DIFFOUT_T23p	F11	DQ3T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_TX_T24p	DIFFOUT_T24p	E8	DQ3T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_RX_T23n	DIFFOUT_T23n	E11	DQ3T	DQ1T									
8A	VREFB8AN0	IO			DIFFIO_TX_T24n	DIFFOUT_T24n	D7											
8A	VREFB8AN0	IO			DIFFIO_RX_T25p	DIFFOUT_T25p	J7											
8A	VREFB8AN0	IO			DIFFIO_TX_T26p	DIFFOUT_T26p	B2	DQ4T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_RX_T25n	DIFFOUT_T25n	H7											
8A	VREFB8AN0	IO			DIFFIO_TX_T26n	DIFFOUT_T26n	B1	DQ4T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_RX_T27p	DIFFOUT_T27p	B6	DQ4T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_TX_T28p	DIFFOUT_T28p	C3	DQ4T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_RX_T27n	DIFFOUT_T27n	B5	DQ4T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_TX_T28n	DIFFOUT_T28n	B3	DQ4T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_RX_T29p	DIFFOUT_T29p	K12	DQS4T	DQS2T									
8A	VREFB8AN0	IO			DIFFIO_TX_T30p	DIFFOUT_T30p	D2											
8A	VREFB8AN0	IO			DIFFIO_RX_T29n	DIFFOUT_T29n	J12	DQSn4T	DQSn2T									
8A	VREFB8AN0	IO			DIFFIO_TX_T30n	DIFFOUT_T30n	C2	DQ4T	DQ2T									
8A	VREFB8AN0	IO			DIFFIO_RX_T31p	DIFFOUT_T31p	G12	DQ4T	DQ2T									
