Device/Package xc7v2000tflg1925 8/18/2011 15:49:36,,,,,,,
,,,,,,,
Pin,Pin Name,Memory Byte Group,Bank,VCCAUX Group,Super Logic Region,I/O Type,No-Connect
AP41,IO_L9N_T1_DQS_12,1,12,0,0,HP,NA
AR43,IO_L10P_T1_12,1,12,0,0,HP,NA
AT43,IO_L10N_T1_12,1,12,0,0,HP,NA
AR40,IO_L11P_T1_SRCC_12,1,12,0,0,HP,NA
AR41,IO_L11N_T1_SRCC_12,1,12,0,0,HP,NA
AR42,IO_L12P_T1_MRCC_12,1,12,0,0,HP,NA
AT42,IO_L12N_T1_MRCC_12,1,12,0,0,HP,NA
AU39,IO_L13P_T2_MRCC_12,2,12,0,0,HP,NA
AU40,IO_L13N_T2_MRCC_12,2,12,0,0,HP,NA
AT39,IO_L14P_T2_SRCC_12,2,12,0,0,HP,NA
AT40,IO_L14N_T2_SRCC_12,2,12,0,0,HP,NA
AU41,IO_L15P_T2_DQS_12,2,12,0,0,HP,NA
AV41,IO_L15N_T2_DQS_12,2,12,0,0,HP,NA
AT44,IO_L16P_T2_12,2,12,0,0,HP,NA
AU44,IO_L16N_T2_12,2,12,0,0,HP,NA
AU42,IO_L17P_T2_12,2,12,0,0,HP,NA
AV42,IO_L17N_T2_12,2,12,0,0,HP,NA
AV43,IO_L18P_T2_12,2,12,0,0,HP,NA
AV44,IO_L18N_T2_12,2,12,0,0,HP,NA
AT37,IO_L19P_T3_12,3,12,0,0,HP,NA
AT38,IO_L19N_T3_VREF_12,3,12,0,0,HP,NA
AT35,IO_L20P_T3_12,3,12,0,0,HP,NA
AU35,IO_L20N_T3_12,3,12,0,0,HP,NA
AU36,IO_L21P_T3_DQS_12,3,12,0,0,HP,NA
AU37,IO_L21N_T3_DQS_12,3,12,0,0,HP,NA
AU34,IO_L22P_T3_12,3,12,0,0,HP,NA
AV34,IO_L22N_T3_12,3,12,0,0,HP,NA
AV38,IO_L23P_T3_12,3,12,0,0,HP,NA
AV39,IO_L23N_T3_12,3,12,0,0,HP,NA
AV36,IO_L24P_T3_12,3,12,0,0,HP,NA
AV37,IO_L24N_T3_12,3,12,0,0,HP,NA
AT34,IO_25_VRP_12,NA,12,0,0,HP,NA
AH34,IO_0_VRN_13,NA,13,0,0,HP,NA
AJ41,IO_L1P_T0_13,0,13,0,0,HP,NA
AK41,IO_L1N_T0_13,0,13,0,0,HP,NA
AH43,IO_L2P_T0_13,0,13,0,0,HP,NA
AH44,IO_L2N_T0_13,0,13,0,0,HP,NA
AK42,IO_L3P_T0_DQS_13,0,13,0,0,HP,NA
AK43,IO_L3N_T0_DQS_13,0,13,0,0,HP,NA
AJ43,IO_L4P_T0_13,0,13,0,0,HP,NA
AJ44,IO_L4N_T0_13,0,13,0,0,HP,NA
AK40,IO_L5P_T0_13,0,13,0,0,HP,NA
AL40,IO_L5N_T0_13,0,13,0,0,HP,NA
AJ39,IO_L6P_T0_13,0,13,0,0,HP,NA
AJ40,IO_L6N_T0_VREF_13,0,13,0,0,HP,NA
AH36,IO_L7P_T1_13,1,13,0,0,HP,NA
AJ36,IO_L7N_T1_13,1,13,0,0,HP,NA
AH37,IO_L8P_T1_13,1,13,0,0,HP,NA
AH38,IO_L8N_T1_13,1,13,0,0,HP,NA
AM36,IO_L9P_T1_DQS_13,1,13,0,0,HP,NA
AM37,IO_L9N_T1_DQS_13,1,13,0,0,HP,NA
AJ38,IO_L10P_T1_13,1,13,0,0,HP,NA
AK38,IO_L10N_T1_13,1,13,0,0,HP,NA
AL37,IO_L11P_T1_SRCC_13,1,13,0,0,HP,NA
AL38,IO_L11N_T1_SRCC_13,1,13,0,0,HP,NA
AK36,IO_L12P_T1_MRCC_13,1,13,0,0,HP,NA
AK37,IO_L12N_T1_MRCC_13,1,13,0,0,HP,NA
AM40,IO_L13P_T2_MRCC_13,2,13,0,0,HP,NA
AM41,IO_L13N_T2_MRCC_13,2,13,0,0,HP,NA
AL39,IO_L14P_T2_SRCC_13,2,13,0,0,HP,NA
AM39,IO_L14N_T2_SRCC_13,2,13,0,0,HP,NA
AM42,IO_L15P_T2_DQS_13,2,13,0,0,HP,NA
AN42,IO_L15N_T2_DQS_13,2,13,0,0,HP,NA
AL42,IO_L16P_T2_13,2,13,0,0,HP,NA
AL43,IO_L16N_T2_13,2,13,0,0,HP,NA
AN43,IO_L17P_T2_13,2,13,0,0,HP,NA
AN44,IO_L17N_T2_13,2,13,0,0,HP,NA
AL44,IO_L18P_T2_13,2,13,0,0,HP,NA
AM44,IO_L18N_T2_13,2,13,0,0,HP,NA
AJ33,IO_L19P_T3_13,3,13,0,0,HP,NA
AJ34,IO_L19N_T3_VREF_13,3,13,0,0,HP,NA
AJ35,IO_L20P_T3_13,3,13,0,0,HP,NA
AK35,IO_L20N_T3_13,3,13,0,0,HP,NA
AK33,IO_L21P_T3_DQS_13,3,13,0,0,HP,NA
AL33,IO_L21N_T3_DQS_13,3,13,0,0,HP,NA
AL34,IO_L22P_T3_13,3,13,0,0,HP,NA
AM34,IO_L22N_T3_13,3,13,0,0,HP,NA
AH32,IO_L23P_T3_13,3,13,0,0,HP,NA
AH33,IO_L23N_T3_13,3,13,0,0,HP,NA
AL35,IO_L24P_T3_13,3,13,0,0,HP,NA
AM35,IO_L24N_T3_13,3,13,0,0,HP,NA
AJ31,IO_25_VRP_13,NA,13,0,0,HP,NA
AE36,IO_0_VRN_14,NA,14,1,1,HP,NA
AF33,IO_L1P_T0_D00_MOSI_14,0,14,1,1,HP,NA
AF34,IO_L1N_T0_D01_DIN_14,0,14,1,1,HP,NA
AG34,IO_L2P_T0_D02_14,0,14,1,1,HP,NA
AG35,IO_L2N_T0_D03_14,0,14,1,1,HP,NA
AG36,IO_L3P_T0_DQS_PUDC_B_14,0,14,1,1,HP,NA
AG37,IO_L3N_T0_DQS_EMCCLK_14,0,14,1,1,HP,NA
AE32,IO_L4P_T0_D04_14,0,14,1,1,HP,NA
AE33,IO_L4N_T0_D05_14,0,14,1,1,HP,NA
AF32,IO_L5P_T0_D06_14,0,14,1,1,HP,NA
AG32,IO_L5N_T0_D07_14,0,14,1,1,HP,NA
AE35,IO_L6P_T0_FCS_B_14,0,14,1,1,HP,NA
AF35,IO_L6N_T0_D08_VREF_14,0,14,1,1,HP,NA
AG41,IO_L7P_T1_D09_14,1,14,1,1,HP,NA
AH41,IO_L7N_T1_D10_14,1,14,1,1,HP,NA
AE37,IO_L8P_T1_D11_14,1,14,1,1,HP,NA
AE38,IO_L8N_T1_D12_14,1,14,1,1,HP,NA
AG39,IO_L9P_T1_DQS_14,1,14,1,1,HP,NA
AH39,IO_L9N_T1_DQS_D13_14,1,14,1,1,HP,NA
AF37,IO_L10P_T1_D14_14,1,14,1,1,HP,NA
AF38,IO_L10N_T1_D15_14,1,14,1,1,HP,NA
AF39,IO_L11P_T1_SRCC_14,1,14,1,1,HP,NA
AG40,IO_L11N_T1_SRCC_14,1,14,1,1,HP,NA
AE40,IO_L12P_T1_MRCC_14,1,14,1,1,HP,NA
AF40,IO_L12N_T1_MRCC_14,1,14,1,1,HP,NA
AD41,IO_L13P_T2_MRCC_14,2,14,1,1,HP,NA
AE41,IO_L13N_T2_MRCC_14,2,14,1,1,HP,NA
AE42,IO_L14P_T2_SRCC_14,2,14,1,1,HP,NA
AF42,IO_L14N_T2_SRCC_14,2,14,1,1,HP,NA
AD43,IO_L15P_T2_DQS_RDWR_B_14,2,14,1,1,HP,NA
AD44,IO_L15N_T2_DQS_DOUT_CSO_B_14,2,14,1,1,HP,NA
