"Pin Information for HardCopy® IV HC4GX25LF1152 Version 1.0"										
										
										
Bank Number	VREF Group	"Pin Name
/Function"	"Optional  Function(s)"	Configuration Function for Stratix IV Only (1)	"Dedicated Tx_Rx Channel (2)"	"Emulated LVDS  Output Channel (2)"	F1152	"DQ Group for  DQS X4 Mode (2)"	"DQ Group for  DQS X8/X9 Mode (2)"	"DQ Group for  DQS X16/X18 Mode (2)"
1A	VREFB1AN0	IO			DIFFIO_TX_L4n	DIFFOUT_L7n	L26	DQ2L	DQ1L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L4p	DIFFOUT_L7p	M25	DQ2L	DQ1L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L4n	DIFFOUT_L8n	C34	DQ2L	DQ1L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L4p	DIFFOUT_L8p	B33	DQ2L	DQ1L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L5n	DIFFOUT_L9n	N25	DQ3L	DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L5p	DIFFOUT_L9p	N24	DQ3L	DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L5n	DIFFOUT_L10n	F32	DQSn3L	DQ2L	DQSn1L/DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L5p	DIFFOUT_L10p	F31	DQS3L	DQ2L/CQn2L	DQS1L/CQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L6n	DIFFOUT_L11n	K29	DQ3L	DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L6p	DIFFOUT_L11p	L28	DQ3L	DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L6n	DIFFOUT_L12n	D34	DQSn4L	DQSn2L/DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L6p	DIFFOUT_L12p	D33	DQS4L	DQS2L/CQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L7n	DIFFOUT_L13n	H31	DQ4L	DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L7p	DIFFOUT_L13p	H30	DQ4L	DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L7n	DIFFOUT_L14n	G32	DQ4L	DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_RX_L7p	DIFFOUT_L14p	G31	DQ4L	DQ2L	DQ1L
1A	VREFB1AN0	IO			DIFFIO_TX_L8n	DIFFOUT_L15n	K30	DQ5L	DQ3L	
1A	VREFB1AN0	IO			DIFFIO_TX_L8p	DIFFOUT_L15p	L29	DQ5L	DQ3L	
1A	VREFB1AN0	IO			DIFFIO_RX_L8n	DIFFOUT_L16n	E34	DQSn5L	DQ3L	
1A	VREFB1AN0	IO			DIFFIO_RX_L8p	DIFFOUT_L16p	E33	DQS5L	DQ3L/CQn3L	
1A	VREFB1AN0	IO(7)			DIFFIO_TX_L9n	DIFFOUT_L17n	N27	DQ5L	DQ3L	
1A	VREFB1AN0	IO(7)			DIFFIO_TX_L9p	DIFFOUT_L17p	N26	DQ5L	DQ3L	
1A	VREFB1AN0	IO(7)			DIFFIO_RX_L9n	DIFFOUT_L18n	F34	DQSn6L	DQSn3L/DQ3L	
1A	VREFB1AN0	IO(7)			DIFFIO_RX_L9p	DIFFOUT_L18p	G33	DQS6L	DQS3L/CQ3L	
1A	VREFB1AN0	IO(7)			DIFFIO_TX_L10n	DIFFOUT_L19n	K31	DQ6L	DQ3L	
1A	VREFB1AN0	IO(7)			DIFFIO_TX_L10p	DIFFOUT_L19p	L30	DQ6L	DQ3L	
1A	VREFB1AN0	IO(7)			DIFFIO_RX_L10n	DIFFOUT_L20n	J32	DQ6L	DQ3L	
1A	VREFB1AN0	IO(7)			DIFFIO_RX_L10p	DIFFOUT_L20p	J31	DQ6L	DQ3L	
1A	VREFB1AN0	IO(7)			DIFFIO_TX_L11n	DIFFOUT_L21n	M29	DQ7L		
1A	VREFB1AN0	IO(7)			DIFFIO_TX_L11p	DIFFOUT_L21p	N28	DQ7L		
1A	VREFB1AN0	IO(7)			DIFFIO_RX_L11n	DIFFOUT_L22n	G34	DQSn7L		
1A	VREFB1AN0	IO(7)			DIFFIO_RX_L11p	DIFFOUT_L22p	H33	DQS7L		
1A	VREFB1AN0	IO(7)			DIFFIO_TX_L12n	DIFFOUT_L23n	P24	DQ7L		
1A	VREFB1AN0	IO(7)			DIFFIO_TX_L12p	DIFFOUT_L23p	P23	DQ7L		
1A	VREFB1AN0	IO(7)			DIFFIO_RX_L12n	DIFFOUT_L24n	H34			
1A	VREFB1AN0	IO(7)			DIFFIO_RX_L12p	DIFFOUT_L24p	J34			
1C	VREFB1CN0	IO(7)			DIFFIO_TX_L13n	DIFFOUT_L25n	P26	DQ8L	DQ8L	DQ8L
1C	VREFB1CN0	IO(7)			DIFFIO_TX_L13p	DIFFOUT_L25p	R25	DQ8L	DQ8L	DQ8L
1C	VREFB1CN0	IO(7)			DIFFIO_RX_L13n	DIFFOUT_L26n	K32	DQSn8L	DQ8L	DQ8L
1C	VREFB1CN0	IO(7)			DIFFIO_RX_L13p	DIFFOUT_L26p	L31	DQS8L	DQ8L/CQn8L	DQ8L
1C	VREFB1CN0	IO(7)			DIFFIO_TX_L14n	DIFFOUT_L27n	N30	DQ8L	DQ8L	DQ8L
1C	VREFB1CN0	IO(7)			DIFFIO_TX_L14p	DIFFOUT_L27p	N29	DQ8L	DQ8L	DQ8L
1C	VREFB1CN0	IO(7)			DIFFIO_RX_L14n	DIFFOUT_L28n	K34	DQSn9L	DQSn8L/DQ8L	DQ8L
1C	VREFB1CN0	IO(7)			DIFFIO_RX_L14p	DIFFOUT_L28p	K33	DQS9L	DQS8L/CQ8L	DQ8L/CQn8L
1C	VREFB1CN0	IO(7)			DIFFIO_TX_L15n	DIFFOUT_L29n	P28	DQ9L	DQ8L	DQ8L
1C	VREFB1CN0	IO(7)			DIFFIO_TX_L15p	DIFFOUT_L29p	P27	DQ9L	DQ8L	DQ8L
1C	VREFB1CN0	IO(7)			DIFFIO_RX_L15n	DIFFOUT_L30n	L34	DQ9L	DQ8L	DQ8L
1C	VREFB1CN0	IO(7)			DIFFIO_RX_L15p	DIFFOUT_L30p	L33	DQ9L	DQ8L	DQ8L
1C	VREFB1CN0	IO(7)			DIFFIO_TX_L16n	DIFFOUT_L31n	T25	DQ10L	DQ9L	DQ8L
1C	VREFB1CN0	IO(7)			DIFFIO_TX_L16p	DIFFOUT_L31p	T24	DQ10L	DQ9L	DQ8L
1C	VREFB1CN0	IO(7)			DIFFIO_RX_L16n	DIFFOUT_L32n	M32	DQSn10L	DQ9L	DQSn8L/DQ8L
1C	VREFB1CN0	IO(7)			DIFFIO_RX_L16p	DIFFOUT_L32p	M31	DQS10L	DQ9L/CQn9L	DQS8L/CQ8L
1C	VREFB1CN0	IO			DIFFIO_TX_L17n	DIFFOUT_L33n	T23	DQ10L	DQ9L	DQ8L
1C	VREFB1CN0	IO			DIFFIO_TX_L17p	DIFFOUT_L33p	U23	DQ10L	DQ9L	DQ8L
1C	VREFB1CN0	IO			DIFFIO_RX_L17n	DIFFOUT_L34n	N32	DQSn11L	DQSn9L/DQ9L	DQ8L
1C	VREFB1CN0	IO			DIFFIO_RX_L17p	DIFFOUT_L34p	N31	DQS11L	DQS9L/CQ9L	DQ8L
1C	VREFB1CN0	IO		CLKUSR	DIFFIO_TX_L18n	DIFFOUT_L35n	P29	DQ11L	DQ9L	DQ8L
1C	VREFB1CN0	IO			DIFFIO_TX_L18p	DIFFOUT_L35p	R29	DQ11L	DQ9L	DQ8L
1C	VREFB1CN0	IO			DIFFIO_RX_L18n	DIFFOUT_L36n	M34	DQ11L	DQ9L	DQ8L
1C	VREFB1CN0	IO			DIFFIO_RX_L18p	DIFFOUT_L36p	N33	DQ11L	DQ9L	DQ8L
1C	VREFB1CN0	IO		DATA0	DIFFIO_TX_L19n	DIFFOUT_L37n	T29	DQ12L	DQ10L	
1C	VREFB1CN0	IO		DATA1	DIFFIO_TX_L19p	DIFFOUT_L37p	T28	DQ12L	DQ10L	
1C	VREFB1CN0	IO		DATA2	DIFFIO_RX_L19n	DIFFOUT_L38n	P32	DQSn12L	DQ10L	
1C	VREFB1CN0	IO		DATA3	DIFFIO_RX_L19p	DIFFOUT_L38p	P31	DQS12L	DQ10L/CQn10L	
1C	VREFB1CN0	IO		DATA4	DIFFIO_TX_L20n	DIFFOUT_L39n	T27	DQ12L	DQ10L	
